OrderID,OrderDate,Region,Country,Category,Product,Segment,Quantity,Sales,Profit
ORD1000,23-11-2024,East,Germany,office supplies,Printer,Corporate,3,4254.67,742.91
ORD1001,27-02-2024,South,India,Electronics,Mouse,Corporate,7,3326.19,513.94
ORD1002,13-01-2024,East,India,FURNITURE,Laptop,Consumer,3,1578.08,211.33
ORD1003,20-05-2024,North,Germany,Office Supplies,Printer,Corporate,7,2636.97,350.42
ORD1004,05-05-2024,North,USA,electronics,Chair,Home Office,6,2596.66,206.80
ORD1005,24-04-2024,West,UK,Furniture,Keyboard,Home Office,6,3764.43,630.87
ORD1006,12-03-2024,East,India,OFFICE SUPPLIES,Monitor,Home Office,2,1548.16,312.23
ORD1007,22-02-2024,East,India,electroNics,Printer,Corporate,2,367.39,87.41
ORD1008,12-12-2024,West,UK,furniture,Chair,Home Office,1,4499.77,1057.38
ORD1009,06-10-2024,North,India,Office supplies,Keyboard,Consumer,5,4777.89,776.58
ORD1010,14-02-2024,West,UK,ELECTRONICS,Printer,Home Office,8,2524.95,177.25
ORD1011,29-10-2024,South,UK,FurnituRe,Monitor,Corporate,6,652.44,69.95
ORD1012,04-08-2024,East,UK,office Supplies,Monitor,Corporate,5,2547.95,400.35
ORD1013,17-01-2024,North,Germany,Electronics,Laptop,Home Office,2,3010.26,357.54
ORD1014,16-01-2024,West,USA,FURNITURE,Monitor,Consumer,3,2688.60,355.37
ORD1015,17-02-2024,North,USA,office supplies,Keyboard,Consumer,2,4890.72,619.21
ORD1016,21-04-2024,South,Canada,electronics,Chair,Consumer,3,4935.72,726.13
ORD1017,29-04-2024,East,Germany,Furniture,Monitor,Corporate,7,4676.23,803.34
ORD1018,15-09-2024,West,Canada,OFFICE supplies,Monitor,Consumer,8,746.72,42.93
ORD1019,04-11-2024,North,USA,Electronics,Chair,Corporate,9,4317.99,453.75
ORD1020,14-01-2024,East,USA,furniTure,Chair,Home Office,9,2885.06,227.26
ORD1021,14-10-2024,East,USA,Office Supplies,Keyboard,Home Office,9,1890.52,324.66
ORD1022,11-04-2024,North,India,ELECTRONics,Monitor,Corporate,7,3446.42,650.45
ORD1023,28-11-2024,East,Canada,Furniture,Keyboard,Corporate,2,3837.36,221.63
